legacy	candidate	commit	creatordate	status
0.2.12.0	v0.76.4	789a50d72402bb48d2b46057614901d351d4606d	2023-02-18T00:45:11-03:00	ok
0.2.12.1	v0.76.5	957ea4a91c08aaa1639971d71d45f6568221bcae	2023-02-18T01:23:20-03:00	ok
0.2.12.2	v0.76.6	fd3f203e1ea12c7a578f9c632d1bb7ab073c71b6	2023-02-18T02:08:42-03:00	ok
0.2.12.3	v0.76.7	9ffd695a6c1f13cb0058c1e9a85f56d45aaeb05a	2023-02-18T02:17:38-03:00	ok
0.2.12	v0.76.8	48690b88409f720d723b98dcb25ffb2ddcc495d1	2023-02-18T02:32:07-03:00	ok
0.2.12.4		48690b88409f720d723b98dcb25ffb2ddcc495d1	2023-02-18T02:32:07-03:00	alias
0.2.13.0	v0.77.0	7a9747efa837645496dbb4ad86d6ef279a1b938f	2023-02-21T21:05:52-03:00	ok
0.2.13.1	v0.77.1	5886e3cb3508509170f22b159bfce115886c687b	2023-02-21T21:37:44-03:00	ok
0.2.13.2	v0.77.2	e07c808a92dc1c01b595e2b7877467cee756b9f7	2023-02-21T22:04:40-03:00	ok
0.2.13.3	v0.77.3	6ca6e07d127c5e9f2ce2ab3abaf53bdeff23fa9a	2023-02-21T22:26:00-03:00	ok
0.2.13.4	v0.77.4	c8a524e717ead3f4b675627aeaa72452a1e32506	2023-02-21T22:34:59-03:00	ok
0.2.13.5	v0.77.5	95bc3179a3b4ab9b08a345949f4dc360a0ec8e54	2023-02-21T22:51:41-03:00	ok
0.2.13.6	v0.77.6	7c5f588f93441fcb23547ab5c283b4dfff5f96fc	2023-02-22T21:24:17-03:00	ok
0.2.13	v0.77.7	6194615b7d8753c7d6b9b72c71b494f88e13855f	2023-02-22T22:02:22-03:00	ok
0.2.13.7		6194615b7d8753c7d6b9b72c71b494f88e13855f	2023-02-22T22:02:22-03:00	alias
0.2.14.0	v0.77.8	41df9569564c816c8114f560367085db68b6fe1d	2023-02-22T22:15:38-03:00	ok
0.2.14.1	v0.77.9	0afde33924d62110fec048db219534eb2f004b5b	2023-02-22T22:47:38-03:00	ok
0.2.14.2	v0.77.10	a9dea571a04547adf4d3d8c10e0bfe5fb75d56cb	2023-02-23T00:25:43-03:00	ok
